source_id,title,publisher,scope,evidence_tier,access_mode,format,primary_url,download_url,ingestion_policy,licence_note,refresh_policy
medlineplus_topics,MedlinePlus Health Topic XML,US National Library of Medicine,"General consumer health; symptoms; prevention; escalation",A,download,ZIP/XML,https://medlineplus.gov/xml.html,AUTO_DISCOVER_MEDLINEPLUS,download_allowed,"Attribute MedlinePlus.gov; follow NLM usage guidance",daily
medlineplus_search,MedlinePlus Web Service,US National Library of Medicine,"Live consumer-health topic retrieval",A,api,XML,https://medlineplus.gov/about/developers/webservices/,,api_allowed,"Free; attribution required; maximum 85 requests/minute/IP; cache 12-24 hours",daily
pubmed_eutils,Entrez Programming Utilities for PubMed,US National Library of Medicine,"Bibliographic metadata and abstracts",A,api,XML/JSON,https://www.ncbi.nlm.nih.gov/books/NBK25497/,,api_allowed,"Follow NCBI usage policy; PubMed metadata is not automatically reusable full text",per_query
pmc_oa_api,PMC Open Access Web Service,US National Library of Medicine,"Licensed open-access full-text discovery",A,api,XML,https://pmc.ncbi.nlm.nih.gov/tools/oa-service/,,api_allowed,"Check and store each article licence; restrict commercial deployment to compatible licences",per_query
pmc_oai,PMC OAI-PMH API,US National Library of Medicine,"Reusable full text and metadata when licence permits",A,api,XML,https://pmc.ncbi.nlm.nih.gov/tools/oai/,,api_allowed,"Only content with licence or usage rights allowing reuse",weekly
clinicaltrials_api,ClinicalTrials.gov API,US National Library of Medicine,"Study status and trial metadata; not treatment recommendations",A,api,JSON,https://clinicaltrials.gov/data-api/api,,api_allowed,"Cite study status and update date; trial registration is not proof of effectiveness",per_query
who_tm_strategy,Global Traditional Medicine Strategy 2025-2034,World Health Organization,"Governance; evidence; safety and responsible traditional-medicine integration",A,official_page,PDF,https://www.who.int/publications/i/item/9789240113176,,link_only,"Use official download page; verify WHO publication terms",monthly
who_selfcare_guideline,WHO Guideline on Self-Care Interventions for Health and Well-Being 2022 Revision,World Health Organization,"Self-care governance; implementation and safety framework",A,download,PDF,https://www.who.int/publications/i/item/9789240052192,https://iris.who.int/bitstream/handle/10665/356986/9789240052215-eng.pdf,download_allowed,"WHO publication; retain attribution and licence notice",annual
who_selfcare_toolkit_2026,Self-Care Interventions Communications Toolkit 2026,World Health Organization,"Current self-care language and implementation resources",B,download,PDF,https://www.who.int/health-topics/self-care,https://cdn.who.int/media/docs/default-source/reproductive-health/self-care/self-care-communications-toolkit-2026.pdf?download=true&sfvrsn=f4d99e81_3,download_allowed,"Do not use WHO logo to imply product endorsement",annual
who_healthy_diet,Healthy Diet Fact Sheet,World Health Organization,"Preventive nutrition guidance",A,official_page,HTML,https://www.who.int/news-room/fact-sheets/detail/healthy-diet,,link_only,"Retrieve through authorized web/MCP method and retain update date",weekly
